date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:11	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.617.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/12-kelly-scheffler)
20:00:11	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.618.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/17-jerry-rhodes)
20:00:11	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.619.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/17-jerry-rhodes)
20:00:11	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.61a.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/17-chris-clark)
20:00:11	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.61b.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/17-chris-clark)
20:00:11	49081/49081	---MC-	200	added ('OK')	text/html	etag:W/%22ff0d8ad377c243736c2df604a2ab0dd3%22	http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/7-joe-drennen	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/7-joe-drennen	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball)
20:00:12	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.61d.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/17-pat-lancaster)
20:00:12	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.61e.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/17-pat-lancaster)
20:00:12	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.61f.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/18-gary-suds-southerland)
20:00:12	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.620.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/18-gary-suds-southerland)
